Date,K,Bisection,Secant,Newton,MP,BSM
0.15,1025,0.33301348266601566,0.3330167617651083,0.3330168962559835,0.625,0.6249547275234839
0.15,1030,0.3359428771972656,0.3359635043639353,0.33596364882310475,0.6,0.5997347248862344
0.15,1040,0.3455854675292968,0.3455733264062659,0.34557347265763355,0.6,0.6001500844933663
0.15,1050,0.31385036010742184,,0.3138188137740916,0.225,0.22519658885547056
0.15,1060,0.3643824157714844,0.36439105211460165,0.36439119208316756,0.6,0.5998943958215293
0.15,1075,0.38232495727539056,0.3823255308025255,0.3823256768697919,0.65,0.6499911103275977
0.15,1090,0.3917234313964843,0.3916755378381549,0.3916756772687318,0.6,0.6005451071336267
0.15,1100,0.4049057067871093,0.4048689816107785,0.4048691259541443,0.65,0.6504334478511158
0.15,1125,0.42223795776367185,0.4221960826396273,0.42219622131370677,0.6,0.6004507915762893
0.15,1150,0.4432319519042968,0.44320258640141214,0.4432027293863866,0.6,0.6003045141202783
0.15,1175,0.4636156555175781,0.4635958026193774,0.46359594143741545,0.6,0.6001987203307291
0.15,1200,0.48338906860351566,0.48341323460162466,0.4834133981571402,0.6,0.599762266159642
0.15,1225,0.49998897094726563,0.5000169025225929,0.5000170529444591,0.575,0.5747411346628706
0.15,1250,0.5186638610839844,0.5187075050931891,0.5187076700294039,0.575,0.5746069978683703
0.15,1275,0.5369725769042968,0.5369169152917845,0.5369170523250945,0.575,0.5754858203849871
0.15,1300,0.5546710021972656,0.5546701900630716,0.5546703367730907,0.575,0.5750056823085714
0.22,200,0.9999389709472657,,,566.25,572.3354954871613
0.22,300,0.9999389709472657,,,466.95,475.034515060761
0.22,350,0.9999389709472657,,,417.65,428.1674761210274
0.22,400,0.9999389709472657,,,368.65,383.33245659700304
0.22,450,0.9999389709472657,,,320.35,341.08899117955485
0.22,490,0.9999389709472657,,,282.25,309.4446101861623
0.22,500,0.9999389709472657,,,272.75,301.85213816285267
0.22,515,0.9999389709472657,,,258.75,290.70902991289375
0.22,525,0.9999389709472657,,,249.45,283.445712848183
0.22,540,0.9999389709472657,,,235.65,272.8010158905984
0.22,550,0.33533258666992183,0.3353607827880482,0.33536092454918626,226.55,226.5497020797369
0.22,560,0.37585587768554685,0.3758347789415556,0.3758348574743047,217.55,217.55044599572716
0.22,590,0.4134497741699218,0.4134737677281811,0.41347379568688786,190.95,190.94892131545134
0.22,600,0.41955267944335933,0.41955702371985315,0.4195570447782197,182.35,182.34977123229305
0.22,625,0.42492323608398436,0.42493650981378606,0.42493652538124904,161.25,161.2490701378382
0.22,650,0.4224820739746093,0.4225103226865245,0.4225103319304094,140.85,140.84755466143235
0.22,675,0.4162571105957031,0.41624200617614243,0.4162420093876503,121.35,121.35154352351725
0.22,700,0.4088115661621093,0.408833971981708,0.4088339739079469,103.05,103.04738712929651
0.22,725,0.3995351501464844,0.3995100185905755,0.3995100186547408,85.95,85.95323631971723
0.22,750,0.3884278625488281,0.3884882929107802,0.38848829291172826,70.15,70.1416663493942
0.22,775,0.3773205749511718,0.37727865650994524,0.3772786564901269,55.95,55.95600070170991
0.22,800,0.3680441589355469,0.36799016068508744,0.36799016063052675,43.75,43.75776113722725
0.22,825,0.3571809875488281,0.3571629819376945,0.3571629825102854,33.1,33.102506840991
0.22,850,0.3449751770019531,0.3450215696912378,0.345021571812419,24.05,24.04399033753583
0.22,875,0.3350884704589843,0.33504181110565406,0.3350418126930366,17.0,17.005391450623193
0.22,900,0.3278870422363281,0.3278698038381616,0.32786980779274266,11.8,11.801707460865742
0.22,925,0.3158032897949218,0.315798251422265,0.31579826670371824,7.5,7.5003998492166915
0.22,950,0.3123856628417968,0.3124177988756296,0.3124178150338438,5.0,4.997970612356468
0.22,975,0.3039636535644531,0.3039392669067815,0.30393929614784837,3.0,3.001127832790935
0.22,1000,0.29236813354492175,0.2923672873543997,0.29236734106906376,1.6,1.6000244079799408
0.22,1025,0.2793079162597656,0.27934241066798715,0.2793425118439491,0.75,0.7493693426484445
0.22,1050,0.2902931457519531,0.2903137085652834,0.2903138568881292,0.6,0.5996901874654732
0.22,1060,0.2979828063964843,0.2980411077976817,0.29804124600128495,0.6,0.5991427817391042
0.22,1075,0.30945626831054684,0.30943586342894525,0.30943602006336585,0.6,0.6002891175963558
0.22,1100,0.3278870422363281,0.327930056728604,0.3279302046562215,0.6,0.5994097505613531
0.22,1125,0.3458295837402343,0.3458414711059598,0.3458416229439078,0.6,0.5998416454060447
0.22,1150,0.36316183471679686,0.36320969688830984,0.3632098691215207,0.6,0.5993907458683196
0.22,1175,0.3801279113769531,0.38006977947055853,0.380069962055818,0.6,0.6007113760978839
0.22,1200,0.39648369750976564,0.39645294938904685,0.3964531318964024,0.6,0.6003636539055606
0.22,1225,0.4101542053222656,0.41019165867171725,0.41019185884281767,0.575,0.5745776548759203
0.22,1250,0.4256555847167969,0.42564173987524134,0.4256419209389152,0.575,0.5751491816844556
0.22,1275,0.4406687316894531,0.44069340433254567,0.44069359514598894,0.575,0.5747354883555786
0.22,1300,0.4553157043457031,0.455367551009248,0.4553677464805665,0.575,0.5744596752291473
0.32,200,0.9999389709472657,,,564.15,573.7841996670085
0.32,300,0.9999389709472657,,,465.45,479.6593160416053
0.32,350,0.9999389709472657,,,416.55,435.48886666179465
0.32,400,0.9999389709472657,,,368.35,393.89507004363395
0.32,440,0.9999389709472657,,,330.25,362.67882856127807
0.32,450,0.9999389709472657,,,320.85,355.1731772512776
0.32,465,0.9999389709472657,,,306.85,344.14196219715654
0.32,475,0.9999389709472657,,,297.55,336.9400164391593
0.32,500,0.9999389709472657,,,274.65,319.46930891222195
0.32,510,0.9999389709472657,,,265.55,312.6945580895208
0.32,515,0.9999389709472657,,,261.05,309.3528184169757
0.32,525,0.9999389709472657,,,252.05,302.7603479779001
0.32,550,0.3215400207519531,0.32149396925679363,0.3214940380556063,229.95,229.9510195485126
